EA 414,MYL 871,PICK-UP DOBLE CABINA,TOYOTA,TOYOTA HILUX 4x2 DOBLE CABINA DX PACK 2.5 TDI,,2013
EA 415,MZP 085,PICK-UP DOBLE CABINA,TOYOTA,TOYOTA HILUX 4x2 DOBLE CABINA DX PACK 2.5 TDI,,2013
EA 417,MZP 098,PICK-UP DOBLE CABINA,TOYOTA,TOYOTA HILUX 4x2 DOBLE CABINA DX PACK 2.5 TDI,,2013
EA 418,MZP 099,PICK-UP DOBLE CABINA,TOYOTA,TOYOTA HILUX 4x2 DOBLE CABINA DX PACK 2.5 TDI,,2013
EA 604,LRA 452,MINIBUS,M.BENZ,SPRINTER 515 CDI/C 4325,,2012
EA 605,LRA 454,MINIBUS,M.BENZ,SPRINTER 515 CDI/C 4325,,2012
EA 606,LRA 460,MINIBUS,M.BENZ,SPRINTER 515 CDI/C 4325,,2012
EA 608,LVE 378,MINIBUS,M.BENZ,SPRINTER 515 CDI/C 4325,,2012
EA 609,LVE 379,MINIBUS,M.BENZ,SPRINTER 515 CDI/C 4325,,2012
EA 610,LVM 136,MINIBUS,M.BENZ,SPRINTER 515 CDI/C 4325,,2012
EA 611,LWK 472,MINIBUS,M.BENZ,SPRINTER 515 CDI/C 4325,,2012
EA 612,LWK 473,MINIBUS,M.BENZ,SPRINTER 515 CDI/C 4325,,2012
EA 613,LWK 474,MINIBUS,M.BENZ,SPRINTER 515 CDI/C 4325,,2012
EV 111,AEB 30,TOPADORA,CATERPILLAR,D8R,,1998
EV 116,N / C,TOPADORA,CATERPILLAR,D7G,,1981
EV 120,N / C,TOPADORA,CATERPILLAR,D8R,,1996
EV 121,BHH 18,TOPADORA,CATERPILLAR,D8T,,2007
EV 122,BJB 17,TOPADORA,CATERPILLAR,D8T,,2007
EV 207,ADW 64,MOTONIVELADORA,CATERPILLAR,140 H BR,,1998
EV 209,AQM 90,MOTONIVELADORA,CATERPILLAR,140 H,,2000
EV 213,AHW 68,MOTONIVELADORA,CATERPILLAR,120 H,,2008
EV 214,BXT 08,MOTONIVELADORA,CATERPILLAR,140K,,2009
EV 215,CEI 19,MOTONIVELADORA,CATERPILLAR,140K,,2011
EV 216,CFM 46,MOTONIVELADORA,CATERPILLAR,140K,,2011
EV 217,CIM 11,MOTONIVELADORA,CATERPILLAR,140K,,2012
EV 218,CKC 98,MOTONIVELADORA,CATERPILLAR,140K,,2012
EV 219,CKX 38,MOTONIVELADORA,CATERPILLAR,140K,,2012
EV 313,BDX 50,CARGADORA FRONTAL,CATERPILLAR,938G,,2006
EV 314,BDX 49,CARGADORA FRONTAL,CATERPILLAR,938G,,2006
EV 318,BHH 32,PALA CARGADORA,XCMG,LW166,,2007
EV 319,BZN 68,CARGADORA FRONTAL,CATERPILLAR,938H,,2010
EV 320,CFG 05,CARGADORA FRONTAL,CATERPILLAR,950H,,2011
EV 321,CFP 40,CARGADORA FRONTAL,CATERPILLAR,950H,,2011
EV 322,CJW 70,CARGADORA FRONTAL,HYUNDAI,HL770-7A,,2012
EV 323,CKD 98,CARGADORA FRONTAL,HYUNDAI,HL770-7A,,2012
EV 411,AHW 53,EXCAVADORA S/ORUGAS,KOMATSU,PC200CL-8,,2006
EV 413,AHW 55,EXCAVADORA S/ORUGAS,CATERPILLAR,320CL,,2007
EV 414,BKF 49,EXCAVADORA,CATERPILLAR,320DL,,2007
EV 415,AHW 65,EXCAVADORA S/ORUGAS,CATERPILLAR,320DL,,2008
EV 416,CAK 06,EXCAVADORA S/ORUGAS,CATERPILLAR,320DL,,2010
EV 417,CIM 12,EXCAVADORA  ,CATERPILLAR,320 DL,,2011
EV 418,CJZ 88,EXCAVADORA  ,HYUNDAI,ROBEX 320 LC-7,,2012
EV 419,CJX 86,EXCAVADORA  ,HYUNDAI,ROBEX 210 LC-7,,2012
EV 420,CJU 42,EXCAVADORA  ,HYUNDAI,ROBEX 140W-7,,2012
EV 506,AHW 63,RETROEXCAV. CARG. S/NEUMAT.,CATERPILLAR,416 E,,2008
EV 509,BZP 39,RETROEXCAV.CARGADORA,CATERPILLAR,416 E,,2010
EV 510,BZP 32,CARGADORA,CATERPILLAR,416 E,,2010
EV 511,BZP 38,RETROEXCAV.CARGADORA,CATERPILLAR,416 E,,2010
EV 512,CGV 56,RETROEXCAV.CARGADORA,CATERPILLAR,416 E,,2012
EV 513,CLE 64,RETROEXCAV.CARGADORA,CATERPILLAR,416 E,,2012
EV 514,CLE 65,RETROEXCAV.CARGADORA,CATERPILLAR,416 E 4X4,,2012
EV 515,CMI 24,RETROEXCAV.CARGADORA,HYUNDAI,H940C,,2012
EV 516,CLC 32,RETROEXCAV.CARGADORA,HYUNDAI,H940C,,2012
EV 605,BLQ 41,COMPACTADOR,TORTONE,RN 723,,2009
EV 607,AHW 88,COMPACTADOR ,TIANGONG,YZ14JC,,2011
EV 608,JY19,COMPACTADOR,LONKINS,WP6G125E202,,2015
EV 610,AHW 89,COMPACTADOR,TIANGONG,YZ14JC,,2011
EV 611,AHW 90,COMPACTADOR ,TIANGONG ,YZ14JC,,2011
EV 705,AIF 12,TRACTOR,DEUTZ ALLIS,5.80 DT,,2000
EV 706,AHW 66,TRACTOR,NEW HOLLAND,TT75 4X4,,2008
EV 707,AHW 67,TRACTOR,NEW HOLLAND,TT75 4X4,,2008
EV 708,AHW 69,TRACTOR,JOHN DEERE,7515,,2008
EV 709,AHW 74,TRACTOR,JOHN DEERE,7630,,2008
EV 710,A/P,TRACTOR,AGCO ALLIS,6.175A,,2009
EV 711,A/P,TRACTOR,AGCO ALLIS,6.175A,,2009
