EA 400,1500,6,"0,96",205-80-16,3800,"15,2",1824,,,,,0,0,0,"15,2",1824
EA 401,1500,4,"0,96",215-80-16,4000,"10,6666666666667",1280,,,,,0,0,0,"10,6666666666667",1280
EA 402,1500,4,"0,96",215-80-16,4000,"10,6666666666667",1280,,,,,0,0,0,"10,6666666666667",1280
EA 403,1500,4,"0,96",215-80-16,4000,"10,6666666666667",1280,,,,,0,0,0,"10,6666666666667",1280
EA 404,1500,4,"0,96",215-80-16,4000,"10,6666666666667",1280,,,,,0,0,0,"10,6666666666667",1280
EA 405,1500,4,"0,96",215-80-16,4000,"10,6666666666667",1280,,,,,0,0,0,"10,6666666666667",1280
EA 406,1500,4,"0,96",215-80-16,4000,"10,6666666666667",1280,,,,,0,0,0,"10,6666666666667",1280
EA 407,1500,4,"0,96",215-80-16,4000,"10,6666666666667",1280,,,,,0,0,0,"10,6666666666667",1280
EA 408,1500,4,"0,96",215-80-16,4000,"10,6666666666667",1280,,,,,0,0,0,"10,6666666666667",1280
EA 409,1500,4,"0,96",215-80-16,4000,"10,6666666666667",1280,,,,,0,0,0,"10,6666666666667",1280
EA 410,1500,4,"0,96",215-80-16,4000,"10,6666666666667",1280,,,,,0,0,0,"10,6666666666667",1280
EA 411,1500,4,"0,96",215-80-16,4000,"10,6666666666667",1280,,,,,0,0,0,"10,6666666666667",1280
EA 412,1500,4,"0,96",215-80-16,4000,"10,6666666666667",1280,,,,,0,0,0,"10,6666666666667",1280
EA 413,1500,4,"0,96",215-80-16,4000,"10,6666666666667",1280,,,,,0,0,0,"10,6666666666667",1280
EA 414,1500,4,"0,96",215-80-16,4000,"10,6666666666667",1280,,,,,0,0,0,"10,6666666666667",1280
EA 415,1500,4,"0,96",215-80-16,4000,"10,6666666666667",1280,,,,,0,0,0,"10,6666666666667",1280
EA 417,1500,4,"0,96",215-80-16,4000,"10,6666666666667",1280,,,,,0,0,0,"10,6666666666667",1280
EA 418,1500,4,"0,96",215-80-16,4000,"10,6666666666667",1280,,,,,0,0,0,"10,6666666666667",1280
EA 604,1500,6,"0,96",215-80-16,3800,"15,2",1824,,,,,0,0,0,"15,2",1824
EA 605,1500,6,"0,96",215-80-16,3800,"15,2",1824,,,,,0,0,0,"15,2",1824
EA 606,1500,6,"0,96",215-80-16,3800,"15,2",1824,,,,,0,0,0,"15,2",1824
EA 608,1500,6,"0,96",215-80-16,3800,"15,2",1824,,,,,0,0,0,"15,2",1824
EA 609,1500,6,"0,96",215-80-16,3800,"15,2",1824,,,,,0,0,0,"15,2",1824
EA 610,1500,6,"0,96",215-80-16,3800,"15,2",1824,,,,,0,0,0,"15,2",1824
EA 611,1500,6,"0,96",215-80-16,3800,"15,2",1824,,,,,0,0,0,"15,2",1824
EA 612,1500,6,"0,96",215-80-16,3800,"15,2",1824,,,,,0,0,0,"15,2",1824
EA 613,1500,6,"0,96",215-80-16,3800,"15,2",1824,,,,,0,0,0,"15,2",1824
